initials,todays_date,mouse_id,sex,strain,genotype,bd,sac_date,disposition_notes,treatment,date_of_first_treatment,treatment_duration,injection_date,virus_1,virus_2,virus_3,evidence_of_tumor,date_tumor_reported,dox_tx,tissue_collected,zinc_fixed,formalin_fixed,parafin_block_number_s,slide_number_s,h_e,gross_visualization_of_lung_nodules,age_at_sac,drug_treatment,reason_for_sac,start_of_treatment,treatment_length,rcas_injection,injection_route,age_at_tumor_onset,todays_date_original,sac_date_original,injection_date_original,date_tumor_reported_original
AT,2022-06-21,1726-4-1 Black,F,GFP,GFP,2022-03-28,2022-06-21,Lungs and liver were all healthy. Brain was soft and smooth. The tumor was large and firm.,,,,2022-05-09,Y3.2 PTEN-Null Vector,,,Y,2022-06-07,,"Brain, lungs, liver, tumor",No,"Brain, lungs, liver, tumor",,,,No,85,GDC0068 40mg/kg,"Tumor too large, exceeded a tumor volume of 2000mm^3",,,,,,44733,44733,44690,44719
AT,2022-06-21,1770-3-1 Green,F,GFP,GFP,2022-04-12,2022-06-21,"Smooth brain, lungs and liver healthy. Tumor seemed to be attached to the digestive tract, the tumor had a tube from the digestive tract connected to it above and below the tumor. The tumor was very large and solid. The tumor had some squishy parts with a thin layer of tissue.",,,,2022-05-09,Y3.2 PTEN-Null Vector,,,Y,2022-06-02,,"Brain, lungs, liver, tumor",No,"Brain, lungs, liver, tumor",,,,No,70,GDC0068 40mg/kg,"Large, deep tumor.",,,,,,44733,44733,44690,44714
AT,2022-06-21,1770-3-1 Pink,F,GFP,GFP,2022-04-08,2022-06-21,Large blood-filled tumor that was larger than expected due to the tumor being deep. There was a little bit of white mush and white nodules. The spleen was abnormally large.,,,,2022-05-09,Y3.2 PTEN-Null Vector,,,Y,2022-06-07,,"Brain, lungs, liver, tumor",No,"Brain, lungs, liver, tumor",,,,No,74,GDC0068 40mg/kg,"Large, deep tumor",,,,,,44733,44733,44690,44719
AT,2022-06-21,1770-3-1 Yellow,F,GFP,GFP,2022-04-08,2022-06-21,Very small tumor that was ulcerated. Lots of white mush and white/yellow nodules in lower half and by the lungs,,,,2022-05-09,Y3.2 PTEN-Null Vector,,,Y,2022-06-07,,"Brain, lungs, liver, tumor",No,"Brain, lungs, liver, tumor",,,,No,74,GDC0068 40mg/kg,Ulcerated tumor,,,,,,44733,44733,44690,44719
KC,2022-06-21,29163-00,M,N-TVA::Cas9f/f,N-TVA::Cas9f/f,2022-01-18,2022-06-21,"Sacked for end date; All organs appeared normal, no tumor noted",,,,2022-01-20,RCAS Cre-U6sgRNA-ex2-NF1 (1/20/22 RE),,,No,,,"Brain, Optic Nerves",No,"Brain, Optic Nerves",,,,,154,,,,,,,,44733,44733,44581,
KC,2022-06-21,29164-01,M,N-TVA::Cas9f/f,N-TVA::Cas9f/f,2022-01-18,2022-06-21,"Sacked for end date; Brain was soft, all other organs appeared normal, no tumor noted",,,,2022-01-20,RCAS Cre-U6sgRNA-ex2-NF1 (1/20/22 RE),,,No,,,"Brain, Optic Nerves",No,"Brain, Optic Nerves",,,,,154,,,,,,,,44733,44733,44581,
KC,2022-06-21,29165-10,M,N-TVA::Cas9f/f,N-TVA::Cas9f/f,2022-01-18,2022-06-21,"Sacked for end date; All organs appeared normal, no tumor noted",,,,2022-01-20,RCAS Cre-U6sgRNA-ex2-NF1 (1/20/22 RE),,,No,,,"Brain, Optic Nerves",No,"Brain, Optic Nerves",,,,,154,,,,,,,,44733,44733,44581,
KC,2022-06-21,29166-11,M,N-TVA::Cas9f/f,N-TVA::Cas9f/f,2022-01-18,2022-06-21,"Sacked for end date; All organs appeared normal, no tumor noted",,,,2022-01-20,RCAS Cre-U6sgRNA-ex2-NF1 (1/20/22 RE),,,No,,,"Brain, Optic Nerves",No,"Brain, Optic Nerves",,,,,154,,,,,,,,44733,44733,44581,
KC,2022-06-21,29561-01,M,DCT-TVA::Brafca/ca;Tyr/Tyr,DCT-TVA::Brafca/ca;Tyr/Tyr,2022-02-22,2022-06-21,"Sacked for tumor size; All organs appeared normal, large tumor on R side of neck",,,,2022-02-22,RCAS myr-HA-AKT1 + RCAS Cre (2/22/22 GP),,,Yes,,,"Tumor, Brain, Lungs, Liver",No,"Tumor, Brain, Lungs, Liver",,,,,119,,,,,,,,44733,44733,44614,
AG,2022-06-21,30040-13,F,N-TVA::Ptenf/f;Inkf/f;Atrxf/f,N-TVA::Ptenf/f;Inkf/f;Atrxf/f,2022-04-15,2022-06-21,"Head bulge, scruffy, hunched back, isolated; Skull had extensive blood vessels. Brain has haematoma.",,,,2022-04-17,RCAS-CRE,RCAS-IDH1R132H-HA,RCAS-PDGFA,No,,,Brain,No,Yes,HCI-22-30040,1,yes,,68 days,,,,,Yes,Intracranial,,44733,44733,44668,
AG,2022-06-17,30060-00,M,N-TVA::Ptenf/f;Inkf/f;Atrxf/f,N-TVA::Ptenf/f;Inkf/f;Atrxf/f,2022-04-17,2022-06-17,"Scruffy, head bulge, lethargic; Skull had extensive blood vessels, Brain has hematoma, and is mushy.",,,,2022-04-17,RCAS-CRE,RCAS-IDH1R132H-HA,RCAS-PDGFA,No,,,Brain,No,Yes,HCI-22-30060,1,yes,,62 days,,,,,Yes,Intracranial,,44729,44729,44668,
AT,2022-06-15,1798-2-1 Green,F,GFP,GFP,2022-04-12,2022-06-15,Brain and liver were all healthy. Lungs were a little soft. The tumor was very blood filled. The tumor was not super visible on BLI.,,,,2022-05-09,Y3.2 PTEN-Null Vector,,,Y,2022-05-27,,"Brain, lungs, liver, tumor",No,"Brain, lungs, liver, tumor",,,,No,64,GSK0394 100mg/kg,"Tumor too large, exceeded a tumor volume of 2000mm^3",,,,,,44727,44727,44690,44708
AT,2022-06-15,1798-2-2 Black,M,GFP,GFP,2022-03-28,2022-06-15,Brain and liver were all healthy. Lungs were a little soft. The tumor was very blood filled. The tumor was not super visible on BLI.,,,,2022-05-09,Y3.2 PTEN-Null Vector,,,Y,2022-05-27,,"Brain, lungs, liver, tumor",No,"Brain, lungs, liver, tumor",,,,No,79,GSK0394 100mg/kg,"Tumor too large, exceeded a tumor volume of 2000mm^3",,,,,,44727,44727,44690,44708
AG,2022-06-14,30315-03,M,N-TVA::Ptenf/f;Inkf/f;Atrxf/f,N-TVA::Ptenf/f;Inkf/f;Atrxf/f,2022-05-17,2022-06-14,Closed eyes (not opening eyes from two days)-No other symptoms; Brain has minor frontal lobe hemorrhage .,,,,2022-05-18,RCAS-CRE,RCAS-IDH1R132H-HA,RCAS-PDGFA,No,,,Brain,No,Yes,HCI-22-30315,1,yes,,29 days,,,,,Yes,Intracranial,,44726,44726,44699,
KC,2022-06-13,1798-2-1 Blue,F,GFP,GFP,2022-03-28,2022-06-13,"Brain, lungs, and liver were all healthy. The tumor was blood filled",,,,2022-05-09,Y3.2 PTEN-Null Vector,,,Y,2022-06-07,,"Brain, lungs, liver, tumor",No,"Brain, lungs, liver. Tumor",,,,No,77,GSK0394 100mg/kg,Large Tumor,,,,,,44725,44725,44690,44719
KC,2022-06-13,1798-2-3 Black,M,GFP,GFP,2022-03-28,2022-06-13,"Brain, lungs, and liver were all healthy. The tumor was blood filled",,,,2022-05-09,Y3.2 PTEN-Null Vector,,,Y,2022-05-27,,"Brain, lungs, liver, tumor",No,"Brain, lungs, liver. Tumor",,,,No,77,GDC0068 40mg/kg,Large Tumor,,,,,,44725,44725,44690,44708
AT,2022-06-09,1798-2-1 Black,F,GFP,GFP,2022-03-28,2022-06-09,"Brain, lungs, and liver were all healthy. The tumor was blood filled and crumbly.",,,,2022-05-09,Y3.2 PTEN-Null Vector,,,Y,2022-05-27,,"Brain, lungs, liver, tumor",No,"Brain, lungs, liver. Tumor",,,,No,73,GDC0068 40mg/kg,Tumor too large and ulcerating.,,,,,,44721,44721,44690,44708
AT,2022-06-09,1798-2-2 Blue,M,GFP,GFP,2022-03-28,2022-06-02,"Brain, lungs, and liver were all healthy. The tumor was blood filled and crumbly.",,,,2022-05-09,Y3.2 PTEN-Null Vector,,,Y,2022-05-27,,"Brain, lungs, liver, tumor",No,"Brain, lungs, liver. Tumor",,,,No,66,GSK0394 100mg/kg,Tumor too large and ulcerating.,,,,,,44721,44714,44690,44708
AG,2022-06-09,30058-10,F,N-TVA::Ptenf/f;Inkf/f;Atrxf/f,N-TVA::Ptenf/f;Inkf/f;Atrxf/f,2022-04-17,2022-06-09,"Head bulge, hunched back, tilted walk; Skull had extensive blood vessels. Brain has haematoma, and is mushy.",,,,2022-04-17,RCAS-CRE,RCAS-IDH1R132H-HA,RCAS-PDGFA,No,,,Brain,No,Yes,HCI-22-30058,1,yes,,54 days,,,,,Yes,Intracranial,,44721,44721,44668,
KC,2022-06-07,28708-00,F,N-TVA::Cas9f/f,N-TVA::Cas9f/f,2021-12-01,2022-06-07,"Sacked for end date; All organs appeared normal, no tumor noted",,,,2022-12-03,RCAS Cre-U6sgRNA-ex2-NF1 (12/3/21 RH),,,No,,,"Brain, Lungs, Liver",No,"Brain, Lungs, Liver",,,,,188,,,,,,,,44719,44719,44898,
KC,2022-06-07,28709-00,M,N-TVA::Cas9f/f,N-TVA::Cas9f/f,2021-12-01,2022-06-07,"Sacked for end date; All organs appeared normal, no tumor noted",,,,2021-12-03,RCAS Cre-U6sgRNA-ex2-NF1 (12/3/21 RH),,,No,,,"Brain, Lungs, Liver",No,"Brain, Lungs, Liver",,,,,188,,,,,,,,44719,44719,44533,
KC,2022-06-07,28710-01,M,N-TVA::Cas9f/f,N-TVA::Cas9f/f,2021-12-01,2022-06-07,"Sacked for end date; All organs appeared normal, no tumor noted",,,,2021-12-03,RCAS Cre-U6sgRNA-ex2-NF1 (12/3/21 RH),,,No,,,"Brain, Lungs, Liver",No,"Brain, Lungs, Liver",,,,,188,,,,,,,,44719,44719,44533,
KC,2022-06-07,28780-00,F,N-TVA::Cas9f/f,N-TVA::Cas9f/f,2021-12-06,2022-06-07,"Sacked for end date; All organs appeared normal, no tumor noted, some hunching",,,,2022-12-07,RCAS Cre-U6sgRNA-ex2-NF1 (12/7/21 RH),,,No,,,"Brain, Lungs, Liver",No,"Brain, Lungs, Liver",,,,,183,,,,,,,,44719,44719,44902,
KC,2022-06-07,28781-00,M,N-TVA::Cas9f/f,N-TVA::Cas9f/f,2021-12-06,2022-06-07,"Sacked for end date; All organs appeared normal, no tumor noted",,,,2021-12-07,RCAS Cre-U6sgRNA-ex2-NF1 (12/7/21 RH),,,No,,,"Brain, Lungs, Liver",No,"Brain, Lungs, Liver",,,,,183,,,,,,,,44719,44719,44537,
KC,2022-06-07,28782-01,M,N-TVA::Cas9f/f,N-TVA::Cas9f/f,2021-12-06,2022-06-07,"Sacked for end date; All organs appeared normal, no tumor noted",,,,2021-12-07,RCAS Cre-U6sgRNA-ex2-NF1 (12/7/21 RH),,,No,,,"Brain, Lungs, Liver",No,"Brain, Lungs, Liver",,,,,183,,,,,,,,44719,44719,44537,
KC,2022-06-07,28783-03,M,N-TVA::Cas9f/f,N-TVA::Cas9f/f,2021-12-06,2022-06-07,"Sacked for end date; All organs appeared normal, no tumor noted",,,,2021-12-07,RCAS Cre-U6sgRNA-ex2-NF1 (12/7/21 RH),,,No,,,"Brain, Lungs, Liver",No,"Brain, Lungs, Liver",,,,,183,,,,,,,,44719,44719,44537,
KC,2022-06-07,28784-10,M,N-TVA::Cas9f/f,N-TVA::Cas9f/f,2021-12-06,2022-06-07,"Sacked for end date; All organs appeared normal, no tumor noted",,,,2021-12-07,RCAS Cre-U6sgRNA-ex2-NF1 (12/7/21 RH),,,No,,,"Brain, Lungs, Liver",No,"Brain, Lungs, Liver",,,,,183,,,,,,,,44719,44719,44537,
AG,2022-06-04,30057-01,F,N-TVA::Ptenf/f;Inkf/f;Atrxf/f,N-TVA::Ptenf/f;Inkf/f;Atrxf/f,2022-04-17,2022-06-04,"Head bulge, Tilted walk, eyes closed, not moving much; Skull had extensive blood vessels. Brain appears normal",,,,2022-04-17,RCAS-CRE,RCAS-IDH1R132H-HA,RCAS-PDGFA,No,,,Brain,No,Yes,HCI-22-30057,1,yes,,49 days,,,,,Yes,Intracranial,,44716,44716,44668,
AG,2022-06-04,30062-10,M,N-TVA::Ptenf/f;Inkf/f;Atrxf/f,N-TVA::Ptenf/f;Inkf/f;Atrxf/f,2022-04-17,2022-06-04,"Scruffy, labored breathing, tilted head, eyes closed; Skull had extensive blood vessels. Brain appears normal",,,,2022-04-17,RCAS-CRE,RCAS-IDH1R132H-HA,RCAS-PDGFA,No,,,Brain,No,Yes,HCI-22-30062,1,yes,,49 days,,,,,Yes,Intracranial,,44716,44716,44668,
AG,2022-06-04,30063-11,M,N-TVA::Ptenf/f;Inkf/f;Atrxf/f,N-TVA::Ptenf/f;Inkf/f;Atrxf/f,2022-04-17,2022-06-04,"Scruffy, head bulge, lethargic; Brain appears normal",,,,2022-04-17,RCAS-CRE,RCAS-IDH1R132H-HA,RCAS-PDGFA,No,,,Brain,No,Yes,HCI-22-30063,1,yes,,49 days,,,,,Yes,Intracranial,,44716,44716,44668,
AG,2022-06-03,30043-00,M,N-TVA::Ptenf/f;Inkf/f;Atrxf/f,N-TVA::Ptenf/f;Inkf/f;Atrxf/f,2022-04-15,2022-06-03,"Scruffy, hunched back, eyes closed, not moving; Skull had extensive blood vessels. Brain appears normal",,,,2022-04-17,RCAS-CRE,RCAS-IDH1R132H-HA,RCAS-PDGFA,No,,,Brain,No,Yes,HCI-22-30043,1,yes,,50 days,,,,,Yes,Intracranial,,44715,44715,44668,
AT,2022-06-02,1798-2-1 Pink,F,GFP,GFP,2022-04-08,2022-06-02,"Brain, lungs, and liver were all healthy. The tumor was small but was a little bit deeper than most which could have caused sciatica leading to the continuous running.",,,,2022-05-09,Y3.2 PTEN-Null Vector,,,Y,2022-05-27,,"Brain, lungs, liver, tumor",No,"Brain, lungs, liver. Tumor",,,,No,55,GSK0394 100mg/kg,Continuously running in circles,,,,,,44714,44714,44690,44708
SB,2022-06-01,28822-10,F,DCT-TVA::Brafca/ca;Tyr/Tyr,DCT-TVA::Brafca/ca;Tyr/Tyr,2021-12-12,2022-06-01,"Sacked for endpoint of experiment; Brain, liver, and lungs appears normal upon necropsy",,,,2022-05-12,RCAS myr-HA-AKT1 + RCAS Cre (12/14/21 GP),,,No,,,Brain,No,Brain,HCI-19-00558-00,,Yes,,171,,,,,,,,44713,44713,44693,
SB,2022-06-01,28823-03,F,DCT-TVA::Brafca/ca;Tyr/Tyr,DCT-TVA::Brafca/ca;Tyr/Tyr,2021-12-12,2022-06-01,"Sacked for endpoint of experiment; Brain, liver, and lungs appears normal upon necropsy",,,,2022-05-11,RCAS myr-HA-AKT1 + RCAS Cre (12/14/21 GP),,,No,,,Brain,No,Brain,HCI-19-00558-00,,Yes,,171,,,,,,,,44713,44713,44692,
JP,2022-06-01,28822-01,F,DCT-TVA::Brafca/ca;Tyr/Tyr,DCT-TVA::Brafca/ca;Tyr/Tyr,2021-12-12,2022-06-01,"Sacked for end date; healthy brain, lungs, and liver; blood clots in thoracic cavity",,,,2021-12-14,RCAS myr-HA-AKT1 + RCAS Cre,,,No,,,"Brain, Lungs, Liver",No,"Brain, Lungs, Liver",,,,,171,,,,,,,,44713,44713,44544,
JP,2022-06-01,28826-30,F,DCT-TVA::Brafca/ca;Tyr/Tyr,DCT-TVA::Brafca/ca;Tyr/Tyr,2021-12-12,2022-06-01,"Sacked for end date; healthy brain, lungs, and liver; blood clots in thoracic cavity",,,,2021-12-14,RCAS myr-HA-AKT1 + RCAS Cre,,,No,,,"Brain, Lungs, Liver",No,"Brain, Lungs, Liver",,,,,171,,,,,,,,44713,44713,44544,
AG,2022-05-31,30045-10,M,N-TVA::Ptenf/f;Inkf/f;Atrxf/f,N-TVA::Ptenf/f;Inkf/f;Atrxf/f,2022-04-15,2022-05-30,"Scruffy, hunched back, closed eyes, unable to balance; Skull had extensive blood vessels. Brain appears normal",,,,2022-04-17,RCAS-CRE,RCAS-IDH1R132H-HA,RCAS-PDGFA,No,,,Brain,No,Yes,HCI-22-30045,1,yes,,47 days,,,,,Yes,Intracranial,,44712,44711,44668,
AG,2022-05-30,30038-10,M,N-TVA::Ptenf/f;Inkf/f;Atrxf/f,N-TVA::Ptenf/f;Inkf/f;Atrxf/f,2022-04-15,2022-05-30,"Both eyes closed, head bulge, lethargic; Skull had extensive blood vessels. Brain also showed right cerebral hematoma",,,,2022-04-17,RCAS-CRE,RCAS-IDH1R132H-HA,RCAS-PDGFA,No,,,Brain,No,Yes,HCI-22-30038,1,yes,,46 days,,,,,Yes,Intracranial,,44711,44711,44668,
KC,2022-05-26,29572-00,F,N-TVA::Ptenf/f;Inkf/f,N-TVA::Ptenf/f;Inkf/f,2022-02-22,2022-05-13,"Sacked for end date; Brain and lungs appear normal upon necropsy, no tumor isolated",,,,2022-02-24,RCAS Cre + RCAS pro HBEGF (2/24/22 KC/JP),,,No,,,"Brain, Lungs, Liver",No,"Brain, Lungs, Liver",,,,,80,,,,,,,,44707,44694,44616,
KC,2022-05-26,29573-01,F,N-TVA::Ptenf/f;Inkf/f,N-TVA::Ptenf/f;Inkf/f,2022-02-22,2022-05-13,"Sacked for end date; Brain and lungs appear normal upon necropsy, no tumor isolated",,,,2022-02-24,RCAS Cre + RCAS pro HBEGF (2/24/22 KC/JP),,,No,,,"Brain, Lungs, Liver",No,"Brain, Lungs, Liver",,,,,80,,,,,,,,44707,44694,44616,
KC,2022-05-26,29574-03,F,N-TVA::Ptenf/f;Inkf/f,N-TVA::Ptenf/f;Inkf/f,2022-02-22,2022-05-13,"Sacked for tumor size; Brain and lungs appear normal upon necropsy, small extracranial tumor isolated",,,,2022-02-24,RCAS Cre + RCAS pro HBEGF (2/24/22 KC/JP),,,No,,,"Brain, Lungs, Liver",No,"Brain, Lungs, Liver",,,,,80,,,,,,,,44707,44694,44616,
KC,2022-05-26,29576-11,F,N-TVA::Ptenf/f;Inkf/f,N-TVA::Ptenf/f;Inkf/f,2022-02-22,2022-05-13,"Sacked for end date; Brain and lungs appear normal upon necropsy, no tumor isolated",,,,2022-02-24,RCAS Cre + RCAS pro HBEGF (2/24/22 KC/JP),,,No,,,"Brain, Lungs, Liver",No,"Brain, Lungs, Liver",,,,,80,,,,,,,,44707,44694,44616,
KC,2022-05-26,29577-00,M,N-TVA::Ptenf/f;Inkf/f,N-TVA::Ptenf/f;Inkf/f,2022-02-22,2022-05-13,"Sacked for end date; Brain and lungs appear normal upon necropsy, no tumor isolated",,,,2022-02-24,RCAS Cre + RCAS pro HBEGF (2/24/22 KC/JP),,,No,,,"Brain, Lungs, Liver",No,"Brain, Lungs, Liver",,,,,80,,,,,,,,44707,44694,44616,
KC,2022-05-26,29579-30,M,N-TVA::Ptenf/f;Inkf/f,N-TVA::Ptenf/f;Inkf/f,2022-02-22,2022-05-13,"Sacked for end date; Brain and lungs appear normal upon necropsy, no tumor isolated",,,,2022-02-24,RCAS Cre + RCAS pro HBEGF (2/24/22 KC/JP),,,No,,,"Brain, Lungs, Liver",No,"Brain, Lungs, Liver",,,,,80,,,,,,,,44707,44694,44616,
KC,2022-05-11,29924-00,M,N-TVA::Cas9f/f;Ink(mix),N-TVA::Cas9f/f;Inkf/+;Pten+/+;Cic+/+;Atrx+/+;Tyr+/+,2022-04-04,2022-05-11,"Sacked for being extremely sickly looking; Brain and lungs appear normal upon necropsy, small nodule on liver, hadn't been eating, some maloclusion",,,,2022-04-05,RCAS Cre-U6sgRNA-ex2-NF1 4/5/22 (RE),,,No,,,"Brain, Lungs, Liver",No,"Brain, Lungs, Liver",,,,,37,,,,,,,,44692,44692,44656,
AT,2022-05-04,45 Brown,F,GFP,GFP,,2022-04-13,Sacked for tumor size; Extremely blood filled tumor with soft mushy tissue that kept fallling out; Brain smooth; Lungs soft and broke easily; Liver healthy,Vehicle,2022-03-18,26,2022-03-07,,,,Yes,2022-03-18,,"Brain, Liver, Lungs, Tumor",No,"Brain, Liver, Lungs, Tumor",,,Yes,No,,,,,,,,,44685,44664,44627,44638
AT,2022-05-04,47 Brown,F,GFP,GFP,,2022-04-13,Sacked for tumor size; Liver and lungs healthy; Mushy brain; Large blood filled tumor,GDC0068 40mg/kg + GSK0394 100mg/kg,2022-03-22,22,2022-03-07,Y 3.2 PTEN null EGFP luciferase,,,Yes,2022-03-22,,"Brain, Liver, Lungs, Tumor",No,"Brain, Liver, Lungs, Tumor",,,Yes,No,,,,,,,,,44685,44664,44627,44642
AT,2022-05-04,47 Green,F,GFP,GFP,,2022-04-13,Sacked for tumor size; Liver and lungs healthy; Mushy brain; Large blood filled tumor,GDC0068 40mg/kg + GSK0394 100mg/kg,2022-03-22,22,2022-03-07,Y 3.2 PTEN null EGFP luciferase,,,Yes,2022-03-22,,"Brain, Liver, Lungs, Tumor",No,"Brain, Liver, Lungs, Tumor",,,Yes,No,,,,,,,,,44685,44664,44627,44642
AT,2022-05-04,48 Green,M,GFP,GFP,,2022-04-13,Sacked for tumor size; Red mush leaking out of soft blood-filled tumor; healthy liver and lungs; Smooth/soft brain,Vehicle,2022-03-18,26,2022-03-07,,,,Yes,2022-03-18,,"Brain, Liver, Lungs, Tumor",No,"Brain, Liver, Lungs, Tumor",,,Yes,No,,,,,,,,,44685,44664,44627,44638
AT,2022-05-04,48 Pink,M,GFP,GFP,,2022-04-13,Sacked for tumor size; Medium-sized tumor that stayed intact and was firm; Healthy liver and lungs; Brain was smooth and mushy; Lungs and heart had dark red nodules,Vehicle,2022-03-18,26,2022-03-07,,,,Yes,2022-03-18,,"Brain, Liver, Lungs, Tumor",No,"Brain, Liver, Lungs, Tumor",,,Yes,No,,,,,,,,,44685,44664,44627,44638
AT,2022-05-04,48 Yellow,M,GFP,GFP,,2022-04-13,"Sacked for tumor size; Tumor was medium sized (smaller than all the rest) and mushy; Brain, lungs, liver were all pretty mushy and broke apart easily",Vehicle,2022-03-29,15,2022-03-07,,,,Yes,2022-03-29,,"Brain, Liver, Lungs, Tumor",No,"Brain, Liver, Lungs, Tumor",,,Yes,No,,,,,,,,,44685,44664,44627,44649
AT,2022-05-04,49 Brown,M,GFP,GFP,,2022-04-13,Sacked for tumor size; Tumor large and blood filled; Brain and liver were soft and mushy,Vehicle,2022-03-25,19,2022-03-07,,,,Yes,2022-03-25,,"Brain, Liver, Lungs, Tumor",No,"Brain, Liver, Lungs, Tumor",,,Yes,No,,,,,,,,,44685,44664,44627,44645
AT,2022-05-04,49 Yellow,M,GFP,GFP,,2022-04-13,Sacked for tumor size; Liver; Mushy brain; Large blood filled tumor that ulcerated; Red tissue found throughout that was very soft; Lungs were connected to little red nodules,Vehicle,2022-03-25,19,2022-03-07,,,,Yes,2022-03-25,,"Brain, Liver, Lungs, Tumor",No,"Brain, Liver, Lungs, Tumor",,,Yes,No,,,,,,,,,44685,44664,44627,44645
JP,2022-04-28,29580-10,M,N-TVA::Ptenf/f;Inkf/f,N-TVA::Ptenf/f;Inkf/f,2022-02-22,2022-04-27,"hunched back, difficulty walking, healthy skull/brain, presence of blood in both thoracic and abdominal cavity, unhealthy liver (high surface area, fragile) and lungs (fragile, shriveled), formation of blood clots around lungs",,,,2022-02-24,RCAS Cre + RCAS pro HBEGF,,,N,,,"Brain, lungs, liver",No,"Brain, lungs, liver",,,,,64,,,,,,,,44679,44678,44616,
TE,2022-04-26,29495-01,M,N-TVA::Ptenf/f;Inkf/f,N-TVA:Tg/+; Pten:Flox/Flox; Ink:Flox/Flox,,2022-04-25,Sacked for End Date; Appeared normal and healthy,,,,2022-02-16,RCAS Cre,RCAS proHBEGF,,No,,,Brain,No,Brain,,,Yes,No,,,,,,,,,44677,44676,44608,
TE,2022-04-26,29496-00,M,N-TVA::Ptenf/f;Inkf/f,TVA+/+;Ptenf/f;Inkf/f,,2022-04-25,"Sacked for End Date; Fatty abdomen, fat around organs; Blood filled skull but healthy looking brain",,,,2022-02-16,RCAS Cre,RCAS proHBEGF,,No,,,Brain,No,Brain,,,Yes,No,,,,,,,,,44677,44676,44608,
JP,2022-04-26,green,M,GFP,GFP,2022-01-12,2022-04-14,"healthy organs, small tumor noted",,,,,,,,Y,,,"Brain, lungs, liver",No,"Brain, lungs, liver",,,,,92,,,,,,,,44677,44665,,
JP,2022-04-26,27982-00,F,DCT-TVA::Brafca/ca;Tyr/Tyr,DCT-TVA::Brafca/ca;Tyr/Tyr,2021-09-12,2022-04-19,"normal-sized skull, healthy brain, liver, and lungs; no evidence of abnormal tissue",,,,2021-09-15,RCAS myr-HA-AKT1 + RCAS Cre (9/15/21 DA/TT),,,N,,,"Brain, lungs, liver",No,"Brain, lungs, liver",,,,,219,,,,,,,,44677,44670,44454,
JP,2022-04-26,27985-10,F,DCT-TVA::Brafca/ca;Tyr/Tyr,DCT-TVA::Brafca/ca;Tyr/Tyr,2021-09-12,2022-04-19,"normal-sized skull, healthy brain, liver, and lungs; no evidence of abnormal tissue, excessive fat in abdominal area",,,,2021-09-15,RCAS myr-HA-AKT1 + RCAS Cre (9/15/21 DA/TT),,,N,,,"Brain, lungs, liver",No,"Brain, lungs, liver",,,,,219,,,,,,,,44677,44670,44454,
JP,2022-04-26,28234-10,F,DCT-TVA::Ptenf/f;Brafca/ca,DCT-TVA::Ptenf/f;Brafca/ca,2021-10-16,2022-04-19,"healthy brain, inflated chest cavity (presence of coagulated blood), hump on the back (no tumor, though; might be related with the inflated chest cavity), healthy liver",,,,2021-10-18,RCAS Cre GP,,,N,,,"Brain, lungs, liver",No,"Brain, lungs, liver",,,,,185,,,,,,,,44677,44670,44487,
JP,2022-04-26,28235-00,M,DCT-TVA::Ptenf/f;Brafca/ca,DCT-TVA::Ptenf/f;Brafca/ca,2021-10-16,2022-04-19,"healthy brain, liver, lungs; no abnormal tissue",,,,2021-10-18,RCAS Cre GP 10/18/21,,,N,,,"Brain, lungs, liver",No,"Brain, lungs, liver",,,,,185,,,,,,,,44677,44670,44487,
JP,2022-04-26,29494-00,F,N-TVA::Ptenf/f;Inkf/f,N-TVA::Ptenf/f;Inkf/f,2022-02-15,2022-04-25,"healthy skull, healthy brain, tilted head, healthy liver, blood clots below diaphragm, unhealthy heart (very dark, excessive clots in its vicinity), healthy lungs",,,,2022-02-16,RCAS Cre + RCAS proHBEGF (02/16/22 KC & JP),,,N - Tilted head,,,"Brain, lungs, liver (lu and li b/c of blood clots in the area)",No,"Brain, lungs, liver",,,,,69,,,,,,,,44677,44676,44608,
JP,2022-04-26,47 blue,M,GFP,GFP,,2022-04-14,"Sacked for tumor size; normal organs, presence of small tumor",GDC0068 40mg/kg + GSK0394 100mg/kg,2022-03-18,27,2022-03-07,Y 3.2 PTEN null EGFP luciferase,,,Yes,2022-03-18,,"Brain, Liver, Lungs, Tumor",No,"Brain, Liver, Lungs, Tumor",,,Yes,No,,,,,,,,,44677,44665,44627,44638
AT,2022-04-25,46 Pink,M,GFP,GFP,,2022-04-13,Sacked for tumor size; Liver and lungs healthy; Mushy brain; Large blood filled tumor; Yellow nodules throughout,GDC0068 40mg/kg + GSK0394 100mg/kg,2022-03-18,26,2022-03-07,Y 3.2 PTEN null EGFP luciferase,,,Yes,2022-03-18,,"Brain, Liver, Lungs, Tumor",No,"Brain, Liver, Lungs, Tumor",,,Yes,No,,,,,,,,,44676,44664,44627,44638
MF,2022-04-25,27984-03,M,DCT-TVA::Brafca/ca;Tyr/Tyr,"TVA+/+, BrafCa/Ca, Tyr-creTg/Tg",2021-09-12,2022-04-19,Sacked for End Date; Healthy brain and liver; Skull filled with blood; Lung nodules found,GDC0068 40mg/kg + GSK0394 100mg/kg,,,2021-09-15,RCAS myr-HA-AKT,RCAS Cre (9/15/21 DA/TT),,No,,,"Brain, Liver, Lungs",No,"Brain, Liver, Lungs",,,Yes,No,,,,,,,,,44676,44670,44454,
