vector_number,vector_name,vector_name_clean,filename
0267,pDONR P4 P1R 5' homology #6 miR 590,pDONR P4 P1R 5' homology #6 miR 590,0267-pDONR P4 P1R 5' homology #6 miR 590.dna
0268,pDEST R4R3 TK Dong,pDEST R4R3 TK Dong,0268-pDEST R4R3 TK Dong.dna
0269,pTRE2 hygro DsRed2,pTRE2 hygro DsRed2,0269-pTRE2 hygro DsRed2.dna
0270,pDEST FG12 CMV GFP Bcl W HA,pDEST FG12 CMV GFP Bcl W HA,0270-pDEST FG12 CMV GFP Bcl W HA.dna
0271,RCAS y DV (A) Bcl W HA,RCAS y DV (A) Bcl W HA,0271-RCAS y DV (A) Bcl W HA.dna
0272,pDEST FG12 CMV DsRed2 Bcl w HA,pDEST FG12 CMV DsRed2 Bcl w HA,0272-pDEST FG12 CMV DsRed2 Bcl w HA.dna
0273,pDEST FG12 CMV GFP Bcl B HA,pDEST FG12 CMV GFP Bcl B HA,0273-pDEST FG12 CMV GFP Bcl B HA.dna
0274,pDEST FG12 CMV DsRed2 Bcl B HA,pDEST FG12 CMV DsRed2 Bcl B HA,0274-pDEST FG12 CMV DsRed2 Bcl B HA.dna
0275,RCAS y DV (A) CCND1 HA,RCAS y DV (A) CCND1 HA,0275-RCAS y DV (A) CCND1 HA.dna
0276,pDEST FG12 CMV GFP CCND1 HA,pDEST FG12 CMV GFP CCND1 HA,0276-pDEST FG12 CMV GFP CCND1 HA.dna
0277,RCAS y DV (A) CCND1 K269R,RCAS y DV (A) CCND1 K269R,0277-RCAS y DV (A) CCND1 K269R.dna
0278,pDEST FG12 CMV GFP CCND1 K269R,pDEST FG12 CMV GFP CCND1 K269R,0278-pDEST FG12 CMV GFP CCND1 K269R.dna
0279,RCAN x DV TRE HA NRas,RCAN x DV TRE HA NRas,0279-RCAN x DV TRE HA NRas.dna
0280,RCAS y DV (A) CDK2 HA,RCAS y DV (A) CDK2 HA,0280-RCAS y DV (A) CDK2 HA.dna
0281,RCAS y DV (A) NEDD9 HA,RCAS y DV (A) NEDD9 HA,0281-RCAS y DV (A) NEDD9 HA.dna
0282,RCAS y DV (A) ETV1 HA,RCAS y DV (A) ETV1 HA,0282-RCAS y DV (A) ETV1 HA.dna
0283,pCR8 mouse Brca1 clone#2,pCR8 mouse Brca1 clone#2,0283-pCR8 mouse Brca1 clone#2.dna
0284,pCR8 mouse Brca1 clone#6,pCR8 mouse Brca1 clone#6,0284-pCR8 mouse Brca1 clone#6.dna
0285,RCAN x DV TRE Kras IRES AKT,RCAN x DV TRE Kras IRES AKT,0285-RCAN x DV TRE Kras IRES AKT.dna
0286,pENTR 3C AKT IRES Cre,pENTR 3C AKT IRES Cre,0286-pENTR 3C AKT IRES Cre.dna
0287,RCAS AKT IRES Cre clone#5,RCAS AKT IRES Cre clone#5,0287-RCAS AKT IRES Cre clone#5.dna
0288,RCAS AKT IRES Cre clone#8,RCAS AKT IRES Cre clone#8,0288-RCAS AKT IRES Cre clone#8.dna
0289,RCAS AKT IRES Cre,RCAS AKT IRES Cre,0289-RCAS AKT IRES Cre.dna
0290,Fg12 cmv V5Bmf,Fg12 cmv V5Bmf,0290-Fg12 cmv V5Bmf.dna
0291,FG12 cmv TFAP2beta,FG12 cmv TFAP2beta,0291-FG12 cmv TFAP2beta.dna
0292,p59,p59,0292-p59.dna
0293,p60,p60,0293-p60.dna
0294,p61,p61,0294-p61.dna
0295,pDEST FG12 DsRed CMV,pDEST FG12 DsRed CMV,0295-pDEST FG12 DsRed CMV.dna
0296,pDEST FG12 CMV DsRed 2 RFA,pDEST FG12 CMV DsRed 2 RFA,0296-pDEST FG12 CMV DsRed 2 RFA.dna
0297,pDest FG12 CMV BMF V5,pDest FG12 CMV BMF V5,0297-pDest FG12 CMV BMF V5.dna
0298,FG12 CMV-HGF,FG12 CMV-HGF,0298-FG12 CMV-HGF.dna
0299,RCAN X DV,RCAN X DV,0299-RCAN X DV.dna
0300,FG12  /,FG12,0300-FG12.dna
0301,FG12 CMV V5 MEK GF,FG12 CMV V5 MEK GF,0301-FG12 CMV V5 MEK GF.dna
0302,FG12 MMP9  (no GFP),FG12 MMP9  (no GFP),0302-FG12 MMP9  (no GFP).dna
0303,pDEST FG12 CMV TFAP2,pDEST FG12 CMV TFAP2,0303-pDEST FG12 CMV TFAP2.dna
0304,pDest FG12 MMP9 (no GFP),pDest FG12 MMP9 (no GFP),0304-pDest FG12 MMP9 (no GFP).dna
0305,FG12 Stat3 no GFP,FG12 Stat3 no GFP,0305-FG12 Stat3 no GFP.dna
0306,pDEST FG12 (cmv promoterless),pDEST FG12 (cmv promoterless),0306-pDEST FG12 (cmv promoterless).dna
0307,FG12 CMV HA Nras IRES Cre,FG12 CMV HA Nras IRES Cre,0307-FG12 CMV HA Nras IRES Cre.dna
0308,FG12 CMV X!AP,FG12 CMV X!AP,0308-FG12 CMV X!AP.dna
0309,pENTR3C Akt IRES CRE,pENTR3C Akt IRES CRE,0309-pENTR3C Akt IRES CRE.dna
0310,pSICO p53,pSICO p53,0310-pSICO p53.dna
0311,FG12-CMV-CRE,FG12-CMV-CRE,0311-FG12-CMV-CRE.dna
0312,FG12 CMV VEGF C,FG12 CMV VEGF C,0312-FG12 CMV VEGF C.dna
0313,pDEST FG12 CMV V5 XIAP,pDEST FG12 CMV V5 XIAP,0313-pDEST FG12 CMV V5 XIAP.dna
0314,FG12 GFP BRAF VE,FG12 GFP BRAF VE,0314-FG12 GFP BRAF VE.dna
0315,FG12 CMV HIF 2,FG12 CMV HIF 2,0315-FG12 CMV HIF 2.dna
0316,FG12 CMV cKIT 818,FG12 CMV cKIT 818,0316-FG12 CMV cKIT 818.dna
0317,FG12 STAT3C (no GFP),FG12 STAT3C (no GFP),0317-FG12 STAT3C (no GFP).dna
0318,FG12 CMV STAT 3c,FG12 CMV STAT 3c,0318-FG12 CMV STAT 3c.dna
0319,FG12 GFP STAT 3C,FG12 GFP STAT 3C,0319-FG12 GFP STAT 3C.dna
0320,FG12 Nras(Q61R) IRES CRE,FG12 Nras(Q61R) IRES CRE,0320-FG12 Nras(Q61R) IRES CRE.dna
0321,FG12 CMV V5 BRAF V600E HiSA,FG12 CMV V5 BRAF V600E HiSA,0321-FG12 CMV V5 BRAF V600E HiSA.dna
0322,FG12 CMV BRAF #26,FG12 CMV BRAF #26,0322-FG12 CMV BRAF #26.dna
0323,FG12 CMV BRAF #28,FG12 CMV BRAF #28,0323-FG12 CMV BRAF #28.dna
0324,RCAS Y DV Nras Q61R HA,RCAS Y DV Nras Q61R HA,0324-RCAS Y DV Nras Q61R HA.dna
0325,pcr8/GW/topo mHGF express,pcr8GWtopo mHGF express,0325-pcr8GWtopo mHGF express.dna
0326,"RCAS Y DV Mek1 ?n3 s218e, s222d (MEK-GF)","RCAS Y DV Mek1 n3 s218e, s222d (MEK-GF)","0326-RCAS Y DV Mek1 n3 s218e, s222d (MEK-GF).dna"
0327,RCASBP(A) BRAF V600E HisA,RCASBP(A) BRAF V600E HisA,0327-RCASBP(A) BRAF V600E HisA.dna
0328,pDEST RCAS HA NRAS,pDEST RCAS HA NRAS,0328-pDEST RCAS HA NRAS.dna
0329,pENTR3C cU6 shGFP #1,pENTR3C cU6 shGFP #1,0329-pENTR3C cU6 shGFP #1.dna
0330,Bfl 1 pYAP6,Bfl 1 pYAP6,0330-Bfl 1 pYAP6.dna
0331,RCAS CRAF 22W,RCAS CRAF 22W,0331-RCAS CRAF 22W.dna
0332,RCASBP Y DV A mKIT D818H,RCASBP Y DV A mKIT D818H,0332-RCASBP Y DV A mKIT D818H.dna
0333,RCAS MEK GF V5 (non-functional),RCAS MEK GF V5 (non-functional),0333-RCAS MEK GF V5 (non-functional).dna
0334,pcDNA3.1 BRAF WT,pcDNA3.1 BRAF WT,0334-pcDNA3.1 BRAF WT.dna
0335,pcDNA3.1 BRAF V599E,pcDNA3.1 BRAF V599E,0335-pcDNA3.1 BRAF V599E.dna
0336,RCAN(A) TRE-EGFRvIII,RCAN(A) TRE-EGFRvIII,0336-RCAN(A) TRE-EGFRvIII.dna
0337,pCR8/GW/topo c KIT,pCR8GWtopo c KIT,0337-pCR8GWtopo c KIT.dna
0338,pENTR 3C H1 BAD 445,pENTR 3C H1 BAD 445,0338-pENTR 3C H1 BAD 445.dna
0339,pENTR 3C H1 Bad 433,pENTR 3C H1 Bad 433,0339-pENTR 3C H1 Bad 433.dna
0340,pENTR 3C  TRE,pENTR 3C  TRE,0340-pENTR 3C  TRE.dna
0341,pENTR 3C,pENTR 3C,0341-pENTR 3C.dna
0342,pENTR 3C 2loxP DsRed FRT GFP,pENTR 3C 2loxP DsRed FRT GFP,0342-pENTR 3C 2loxP DsRed FRT GFP.dna
0343,pENTR 3C mU6,pENTR 3C mU6,0343-pENTR 3C mU6.dna
0344,pENTR 3C HA NRAS,pENTR 3C HA NRAS,0344-pENTR 3C HA NRAS.dna
0345,pcDNA3.1 hygro TVA,pcDNA3.1 hygro TVA,0345-pcDNA3.1 hygro TVA.dna
0346,pENTR 3C TRE GFP,pENTR 3C TRE GFP,0346-pENTR 3C TRE GFP.dna
0347,pENTR 3C CMV GFP,pENTR 3C CMV GFP,0347-pENTR 3C CMV GFP.dna
0348,RCASBP Y DV A AKT1mutant HA,RCASBP Y DV A AKT1mutant HA,0348-RCASBP Y DV A AKT1mutant HA.dna
0349,RCASBP Y DV A MEK GF (No tag functional),RCASBP Y DV A MEK GF (No tag functional),0349-RCASBP Y DV A MEK GF (No tag functional).dna
0350,RCAN Y DV A TRE-KRAS,RCAN Y DV A TRE-KRAS,0350-RCAN Y DV A TRE-KRAS.dna
0351,RCANBP A Y DV,RCANBP A Y DV,0351-RCANBP A Y DV.dna
0352,RCANBP M DV,RCANBP M DV,0352-RCANBP M DV.dna
0353,RCANBP (A) TRE GFP c2,RCANBP (A) TRE GFP c2,0353-RCANBP (A) TRE GFP c2.dna
0354,RCASBP (M) Tet Off,RCASBP (M) Tet Off,0354-RCASBP (M) Tet Off.dna
0355,pENTR3C TFAP2,pENTR3C TFAP2,0355-pENTR3C TFAP2.dna
0356,pENTR3C NRAS (HA) IRES CRE,pENTR3C NRAS (HA) IRES CRE,0356-pENTR3C NRAS (HA) IRES CRE.dna
0357,pSport6 mouse c Kit,pSport6 mouse c Kit,0357-pSport6 mouse c Kit.dna
0358,pENTR 3C multimir (both have 1 on lid),pENTR 3C multimir (both have 1 on lid),0358-pENTR 3C multimir (both have 1 on lid).dna
0359,pENTR 3C multimir JD control (3 on lid),pENTR 3C multimir JD control (3 on lid),0359-pENTR 3C multimir JD control (3 on lid).dna
0360,pENTR 3C multimir JD cntrl JDwn2 J03 (2 on lid),pENTR 3C multimir JD cntrl JDwn2 J03 (2 on lid),0360-pENTR 3C multimir JD cntrl JDwn2 J03 (2 on lid).dna
0361,pENTR 3C multimir JD cntrl JDwn2 (4 on lid),pENTR 3C multimir JD cntrl JDwn2 (4 on lid),0361-pENTR 3C multimir JD cntrl JDwn2 (4 on lid).dna
0362,pENTR 3C H1 ENV B 112 (mini#1),pENTR 3C H1 ENV B 112 (mini#1),0362-pENTR 3C H1 ENV B 112 (mini#1).dna
0363,pENTR 3C H1 ENV B 408(mini#6),pENTR 3C H1 ENV B 408(mini#6),0363-pENTR 3C H1 ENV B 408(mini#6).dna
0364,pENTR 3C H1 ENV B 854 (mini#9),pENTR 3C H1 ENV B 854 (mini#9),0364-pENTR 3C H1 ENV B 854 (mini#9).dna
0365,pENTR 3C H1 1012 (mini#15),pENTR 3C H1 1012 (mini#15),0365-pENTR 3C H1 1012 (mini#15).dna
0366,pENTR 3C mU6 Env B 112 (mini#17),pENTR 3C mU6 Env B 112 (mini#17),0366-pENTR 3C mU6 Env B 112 (mini#17).dna
0367,pENTR 3C mU6 408 (mini#21),pENTR 3C mU6 408 (mini#21),0367-pENTR 3C mU6 408 (mini#21).dna
0368,pENTR 3C mU6 Env B 854 (mini#27),pENTR 3C mU6 Env B 854 (mini#27),0368-pENTR 3C mU6 Env B 854 (mini#27).dna
0369,pENTR 3C mU6 Env B 1012 (mini#29),pENTR 3C mU6 Env B 1012 (mini#29),0369-pENTR 3C mU6 Env B 1012 (mini#29).dna
0370,"pENTR 3C multimir JD1, 2, 3","pENTR 3C multimir JD1, 2, 3","0370-pENTR 3C multimir JD1, 2, 3.dna"
0371,pENTR 3C m U6 shGFP,pENTR 3C m U6 shGFP,0371-pENTR 3C m U6 shGFP.dna
0372,pENTR 3C T34A survivin,pENTR 3C T34A survivin,0372-pENTR 3C T34A survivin.dna
0373,pENTR 3C C84A survivin,pENTR 3C C84A survivin,0373-pENTR 3C C84A survivin.dna
0374,pENTR 3C H1 Bim 37,pENTR 3C H1 Bim 37,0374-pENTR 3C H1 Bim 37.dna
0375,pENTR 3C H1,pENTR 3C H1,0375-pENTR 3C H1.dna
0376,pENTR 3C H1 Bad24,pENTR 3C H1 Bad24,0376-pENTR 3C H1 Bad24.dna
0377,pENTR 3C loxP MCS loxP frt neo frt,pENTR 3C loxP MCS loxP frt neo frt,0377-pENTR 3C loxP MCS loxP frt neo frt.dna
0378,pENTR 3C (no HA) ATX,pENTR 3C (no HA) ATX,0378-pENTR 3C (no HA) ATX.dna
0379,pBluescript ATX,pBluescript ATX,0379-pBluescript ATX.dna
0380,Frt2/Neo loxP orientation 4,Frt2Neo loxP orientation 4,0380-Frt2Neo loxP orientation 4.dna
0381,FRT2/NEO and loxP c.16 in pBS KS,FRT2NEO and loxP c.16 in pBS KS,0381-FRT2NEO and loxP c.16 in pBS KS.dna
0382,RCAS Y DV 2 no tag,RCAS Y DV 2 no tag,0382-RCAS Y DV 2 no tag.dna
0383,RCAS Y DV NHA 3,RCAS Y DV NHA 3,0383-RCAS Y DV NHA 3.dna
0384,RCAS Y DV CHA 9,RCAS Y DV CHA 9,0384-RCAS Y DV CHA 9.dna
0385,pDONR p2r p3,pDONR p2r p3,0385-pDONR p2r p3.dna
0386,pDONR p4 p1r,pDONR p4 p1r,0386-pDONR p4 p1r.dna
0387,pDONR 201,pDONR 201,0387-pDONR 201.dna
0388,pDONR 221,pDONR 221,0388-pDONR 221.dna
0389,pBLUESCRIPT SK,pBLUESCRIPT SK,0389-pBLUESCRIPT SK.dna
0390,pTRE,pTRE,0390-pTRE.dna
0391,pUC 19,pUC 19,0391-pUC 19.dna
0392,pDEST FG12 DsRed CMV KIAA:BRAF,pDEST FG12 DsRed CMV KIAABRAF,0392-pDEST FG12 DsRed CMV KIAABRAF.dna
0393,pDEST FG12 DsRed CMV KIAA:BRAF,pDEST FG12 DsRed CMV KIAABRAF,0393-pDEST FG12 DsRed CMV KIAABRAF.dna
0394,pDEST FG12 DsRed CMV KIAA:BRAF,pDEST FG12 DsRed CMV KIAABRAF,0394-pDEST FG12 DsRed CMV KIAABRAF.dna
0395,RCAS-Y p53 R273L,RCAS-Y p53 R273L,0395-RCAS-Y p53 R273L.dna
0396,pDEST FG12 GFP CMV - Bim S69A,pDEST FG12 GFP CMV - Bim S69A,0396-pDEST FG12 GFP CMV - Bim S69A.dna
0397,pDEST FG12 dsRED CMV - Bim S69A,pDEST FG12 dsRED CMV - Bim S69A,0397-pDEST FG12 dsRED CMV - Bim S69A.dna
0398,pDEST FG12 GFP CMV - Bim S59A,pDEST FG12 GFP CMV - Bim S59A,0398-pDEST FG12 GFP CMV - Bim S59A.dna
0399,pDEST FG12 dsRED CMV - Bim S59A,pDEST FG12 dsRED CMV - Bim S59A,0399-pDEST FG12 dsRED CMV - Bim S59A.dna
0400,pDEST FG12 GFP CMV - Bmf S74A,pDEST FG12 GFP CMV - Bmf S74A,0400-pDEST FG12 GFP CMV - Bmf S74A.dna
0401,pDEST FG12 dsRED CMV - Bmf S74A,pDEST FG12 dsRED CMV - Bmf S74A,0401-pDEST FG12 dsRED CMV - Bmf S74A.dna
0402,pCR8-Bim S69A,pCR8-Bim S69A,0402-pCR8-Bim S69A.dna
0403,pCR8-Bim S59A,pCR8-Bim S59A,0403-pCR8-Bim S59A.dna
0404,pCR8-Bmf S74A,pCR8-Bmf S74A,0404-pCR8-Bmf S74A.dna
0405,pCR8-Bim S69A S59A,pCR8-Bim S69A S59A,0405-pCR8-Bim S69A S59A.dna
0406,pCR8-Bim K112A,pCR8-Bim K112A,0406-pCR8-Bim K112A.dna
0407,pCR8-Bmf L73A,pCR8-Bmf L73A,0407-pCR8-Bmf L73A.dna
0408,pCR8-Bmf K68A,pCR8-Bmf K68A,0408-pCR8-Bmf K68A.dna
0409,pCR8-Bmf T72A,pCR8-Bmf T72A,0409-pCR8-Bmf T72A.dna
0410,RCAS cKit L576P  wrong ori,RCAS cKit L576P  wrong ori,0410-RCAS cKit L576P  wrong ori.dna
0411,pDEST FG12 CMV GFP,pDEST FG12 CMV GFP,0411-pDEST FG12 CMV GFP.dna
0412,pAddEsay,pAddEsay,0412-pAddEsay.dna
0413,pShuttle-CMV-IRES-eGFP,pShuttle-CMV-IRES-eGFP,0413-pShuttle-CMV-IRES-eGFP.dna
0414,pDest-Shuttle-(GW  B),pDest-Shuttle-(GW  B),0414-pDest-Shuttle-(GW  B).dna
0415,pDest-Shuttle-CMV-(GW B),pDest-Shuttle-CMV-(GW B),0415-pDest-Shuttle-CMV-(GW B).dna
0416,pShuttle-CMV,pShuttle-CMV,0416-pShuttle-CMV.dna
0417,pShuttle,pShuttle,0417-pShuttle.dna
0418,pTet Off (From MVB),pTet Off (From MVB),0418-pTet Off (From MVB).dna
0419,RCAS BP(A) STAT 3c,RCAS BP(A) STAT 3c,0419-RCAS BP(A) STAT 3c.dna
0420,pENTR MMP9,pENTR MMP9,0420-pENTR MMP9.dna
0421,RCASBP(A) EGFRviii,RCASBP(A) EGFRviii,0421-RCASBP(A) EGFRviii.dna
0422,RCANBP(A) TRE-(hu)KRAS-HA,RCANBP(A) TRE-(hu)KRAS-HA,0422-RCANBP(A) TRE-(hu)KRAS-HA.dna
0423,RCAS c-RAF,RCAS c-RAF,0423-RCAS c-RAF.dna
0424,pIREShygro-pcB6 WTA VCT,pIREShygro-pcB6 WTA VCT,0424-pIREShygro-pcB6 WTA VCT.dna
0425,FG12 CMV dsRed V5 Bmf T72A,FG12 CMV dsRed V5 Bmf T72A,0425-FG12 CMV dsRed V5 Bmf T72A.dna
0426,FG12 CMV dsRed V5 Bmf K68A,FG12 CMV dsRed V5 Bmf K68A,0426-FG12 CMV dsRed V5 Bmf K68A.dna
0427,mHGF (open biosystems cDNA clone)8733977,mHGF (open biosystems cDNA clone)8733977,0427-mHGF (open biosystems cDNA clone)8733977.dna
0428,pcB6 WTA delta513,pcB6 WTA delta513,0428-pcB6 WTA delta513.dna
0429,FG12 CMV GFP V5 Bmf K68A,FG12 CMV GFP V5 Bmf K68A,0429-FG12 CMV GFP V5 Bmf K68A.dna
0430,pcDNA3.1 mouse sox 10,pcDNA3.1 mouse sox 10,0430-pcDNA3.1 mouse sox 10.dna
0431,pcDNA6 mouse sox 10 - V5,pcDNA6 mouse sox 10 - V5,0431-pcDNA6 mouse sox 10 - V5.dna
0432,pcDNA6 chick sox 11,pcDNA6 chick sox 11,0432-pcDNA6 chick sox 11.dna
0433,pDest-Shuttle (GW) CMV IRES GFP,pDest-Shuttle (GW) CMV IRES GFP,0433-pDest-Shuttle (GW) CMV IRES GFP.dna
0434,pLNcx mouse Wnt7b HA,pLNcx mouse Wnt7b HA,0434-pLNcx mouse Wnt7b HA.dna
0435,pcDNA3.1 Beta Catenin S37A mouse,pcDNA3.1 Beta Catenin S37A mouse,0435-pcDNA3.1 Beta Catenin S37A mouse.dna
0436,pDest R4R3 TK Dong miR5901 #11,pDest R4R3 TK Dong miR5901 #11,0436-pDest R4R3 TK Dong miR5901 #11.dna
0437,pDest R4R3 TK Dong miR5901 #16,pDest R4R3 TK Dong miR5901 #16,0437-pDest R4R3 TK Dong miR5901 #16.dna
0438,pDest R4R3 TK Dong miR5901 #4,pDest R4R3 TK Dong miR5901 #4,0438-pDest R4R3 TK Dong miR5901 #4.dna
0439,pTRE2 hygro DsRed2,pTRE2 hygro DsRed2,0439-pTRE2 hygro DsRed2.dna
0440,pDEST FG12 CMV DsRed2 cKit,pDEST FG12 CMV DsRed2 cKit,0440-pDEST FG12 CMV DsRed2 cKit.dna
0441,pDEST FG12 NRasQ61R HA,pDEST FG12 NRasQ61R HA,0441-pDEST FG12 NRasQ61R HA.dna
0442,KH-1LV,KH-1LV,0442-KH-1LV.dna
0443,pDEST FG12 CMV cMET Flag,pDEST FG12 CMV cMET Flag,0443-pDEST FG12 CMV cMET Flag.dna
0444,pDEST FG12 cMet Flag,pDEST FG12 cMet Flag,0444-pDEST FG12 cMet Flag.dna
0445,pDEST FG12 CMV mHGFx DsRed2,pDEST FG12 CMV mHGFx DsRed2,0445-pDEST FG12 CMV mHGFx DsRed2.dna
0446,pDEST FG12 CMV GFP TFAP2B,pDEST FG12 CMV GFP TFAP2B,0446-pDEST FG12 CMV GFP TFAP2B.dna
0447,RCAS NHA mouse Sox 10,RCAS NHA mouse Sox 10,0447-RCAS NHA mouse Sox 10.dna
0448,FG12 CMV V5 Bmf L73A dsRed,FG12 CMV V5 Bmf L73A dsRed,0448-FG12 CMV V5 Bmf L73A dsRed.dna
0449,FG12 CMV V5 Bmf L73A gfp,FG12 CMV V5 Bmf L73A gfp,0449-FG12 CMV V5 Bmf L73A gfp.dna
0450,KH-1 LV Ral B07 #18,KH-1 LV Ral B07 #18,0450-KH-1 LV Ral B07 #18.dna
0451,KH-1LV Ral B05 #17,KH-1LV Ral B05 #17,0451-KH-1LV Ral B05 #17.dna
0452,KH-1 LV Ral B08 #20,KH-1 LV Ral B08 #20,0452-KH-1 LV Ral B08 #20.dna
0453,KH-1 LV RalA05 #7,KH-1 LV RalA05 #7,0453-KH-1 LV RalA05 #7.dna
0454,KH-1LV Ral A06 #8,KH-1LV Ral A06 #8,0454-KH-1LV Ral A06 #8.dna
0455,pcr8/GW/TOPO Mek2,pcr8GWTOPO Mek2,0455-pcr8GWTOPO Mek2.dna
0456,RCASBP(A)- p53 EF1a-ds-Red mp53 WT-flag,RCASBP(A)- p53 EF1a-ds-Red mp53 WT-flag,0456-RCASBP(A)- p53 EF1a-ds-Red mp53 WT-flag.dna
0457,RCASBP(A)- p53-IRES puro mp53 WT-flag,RCASBP(A)- p53-IRES puro mp53 WT-flag,0457-RCASBP(A)- p53-IRES puro mp53 WT-flag.dna
0458,RCASBP(A)- p53 EF1a-ds-Red mp53-mtR172H-flag,RCASBP(A)- p53 EF1a-ds-Red mp53-mtR172H-flag,0458-RCASBP(A)- p53 EF1a-ds-Red mp53-mtR172H-flag.dna
0459,RCASBP(A)- p53-IRES puro mp53-mtR172H-flag,RCASBP(A)- p53-IRES puro mp53-mtR172H-flag,0459-RCASBP(A)- p53-IRES puro mp53-mtR172H-flag.dna
0460,RCASBP(A)- p53 EF1a-ds-Red mp53-mtR273L-flag,RCASBP(A)- p53 EF1a-ds-Red mp53-mtR273L-flag,0460-RCASBP(A)- p53 EF1a-ds-Red mp53-mtR273L-flag.dna
0461,RCASBP(A)- p53-IRES puro mp53-mtR273L-flag,RCASBP(A)- p53-IRES puro mp53-mtR273L-flag,0461-RCASBP(A)- p53-IRES puro mp53-mtR273L-flag.dna
0462,RCASBP(A)- p53 EF1a-ds-Red mp53-mtP151L-flag,RCASBP(A)- p53 EF1a-ds-Red mp53-mtP151L-flag,0462-RCASBP(A)- p53 EF1a-ds-Red mp53-mtP151L-flag.dna
0463,RCASBP(A)- p53-IRES puro mp53-mtP151L-flag,RCASBP(A)- p53-IRES puro mp53-mtP151L-flag,0463-RCASBP(A)- p53-IRES puro mp53-mtP151L-flag.dna
0464,RCASBP(A)- p53 EF1a-ds-Red mp53-mtV203E-flag,RCASBP(A)- p53 EF1a-ds-Red mp53-mtV203E-flag,0464-RCASBP(A)- p53 EF1a-ds-Red mp53-mtV203E-flag.dna
0465,RCASBP(A)- p53-IRES puro mp53-mtV203E-flag,RCASBP(A)- p53-IRES puro mp53-mtV203E-flag,0465-RCASBP(A)- p53-IRES puro mp53-mtV203E-flag.dna
0466,RCASBP(A)- p53 EF1a-ds-Red mp53-mtY220C-flag,RCASBP(A)- p53 EF1a-ds-Red mp53-mtY220C-flag,0466-RCASBP(A)- p53 EF1a-ds-Red mp53-mtY220C-flag.dna
0467,RCASBP(A)- p53-IRES puro mp53-mtY220C-flag,RCASBP(A)- p53-IRES puro mp53-mtY220C-flag,0467-RCASBP(A)- p53-IRES puro mp53-mtY220C-flag.dna
0468,RCASBP(A)- p53 EF1a-ds-Red mp53-mtL212F-flag,RCASBP(A)- p53 EF1a-ds-Red mp53-mtL212F-flag,0468-RCASBP(A)- p53 EF1a-ds-Red mp53-mtL212F-flag.dna
0469,RCASBP(A)- p53-IRES puro mp53-mtL212F-flag,RCASBP(A)- p53-IRES puro mp53-mtL212F-flag,0469-RCASBP(A)- p53-IRES puro mp53-mtL212F-flag.dna
0470,RCASBP(A)- p53 EF1a-ds-Red mp53-mtV272A-flag,RCASBP(A)- p53 EF1a-ds-Red mp53-mtV272A-flag,0470-RCASBP(A)- p53 EF1a-ds-Red mp53-mtV272A-flag.dna
0471,RCASBP(A)- p53-IRES puro mp53-mtV272A-flag,RCASBP(A)- p53-IRES puro mp53-mtV272A-flag,0471-RCASBP(A)- p53-IRES puro mp53-mtV272A-flag.dna
0472,RCASBP(A)- p53 EF1a-ds-Red mp53-mtP250S-flag,RCASBP(A)- p53 EF1a-ds-Red mp53-mtP250S-flag,0472-RCASBP(A)- p53 EF1a-ds-Red mp53-mtP250S-flag.dna
0473,RCASBP(A)- p53-IRES puro mp53-mtP250S-flag,RCASBP(A)- p53-IRES puro mp53-mtP250S-flag,0473-RCASBP(A)- p53-IRES puro mp53-mtP250S-flag.dna
0474,RCASBP(A)- p53 EF1a-ds-Red mp53-mtL35F-flag,RCASBP(A)- p53 EF1a-ds-Red mp53-mtL35F-flag,0474-RCASBP(A)- p53 EF1a-ds-Red mp53-mtL35F-flag.dna
0475,RCASBP(A)- p53-IRES puro mp53-mtL35F-flag,RCASBP(A)- p53-IRES puro mp53-mtL35F-flag,0475-RCASBP(A)- p53-IRES puro mp53-mtL35F-flag.dna
0476,RCASBP(A)- p53 EF1a-ds-Red mp53-mtM237R-flag,RCASBP(A)- p53 EF1a-ds-Red mp53-mtM237R-flag,0476-RCASBP(A)- p53 EF1a-ds-Red mp53-mtM237R-flag.dna
0477,RCASBP(A)- p53-IRES puro mp53-mtM237R-flag,RCASBP(A)- p53-IRES puro mp53-mtM237R-flag,0477-RCASBP(A)- p53-IRES puro mp53-mtM237R-flag.dna
0478,RCASBP(A)- p53 EF1a-ds-Red mp53-mtK291N-flag,RCASBP(A)- p53 EF1a-ds-Red mp53-mtK291N-flag,0478-RCASBP(A)- p53 EF1a-ds-Red mp53-mtK291N-flag.dna
0479,RCASBP(A)- p53-IRES puro mp53-mtK291N-flag,RCASBP(A)- p53-IRES puro mp53-mtK291N-flag,0479-RCASBP(A)- p53-IRES puro mp53-mtK291N-flag.dna
0480,FG12 CMV GFP HA-KIAA1549:BRAF clone#A,FG12 CMV GFP HA-KIAA1549BRAF clone#A,0480-FG12 CMV GFP HA-KIAA1549BRAF clone#A.dna
0481,FG12 CMV GFP HA-KIAA1549:BRAF clone#B,FG12 CMV GFP HA-KIAA1549BRAF clone#B,0481-FG12 CMV GFP HA-KIAA1549BRAF clone#B.dna
0482,FG12 CMV GFP HA-BRAF KD clone#3,FG12 CMV GFP HA-BRAF KD clone#3,0482-FG12 CMV GFP HA-BRAF KD clone#3.dna
0483,pDEST FG12-cmv from clone5 original 10/1/10,pDEST FG12-cmv from clone5 original 10110,0483-pDEST FG12-cmv from clone5 original 10110.dna
